Organization,Address,Region,Phone,Website,Notes,Drive Radius,Population,Households,Household Size,Median HH Income,Unnamed: 11,Unnamed: 12,Unnamed: 13,Unnamed: 14,Unnamed: 15,Unnamed: 16,Unnamed: 17,Unnamed: 18,Unnamed: 19,Unnamed: 20,Unnamed: 21,Unnamed: 22,Unnamed: 23,Unnamed: 24,Unnamed: 25,Unnamed: 26,Latitude,Longitude
The St. James,"6805 Industrial Rd Springfield, VA 22151",,(703) 239-6870,thestjames.com,Massive facilities with an ice rink,7 mi,"484,273","192,332",2.52,"$114,497 ",,,,,,,,,,,,,,,,,38.804268536598535,-77.2123115420941
Seattle Athletic Club,"2020 Western Ave Seattle, WA 98121",,(206) 443-1111,sacdt.com,,7 mi,"645,371","313,326",2.06,"$114,326 ",,,,,,,,,,,,,,,,,47.6108041,-122.34383854805196
Onelife Fitness - Rockville,"1407 Research Blvd Rockville, MD 20852",,(240) 599-8383,onelifefitness.com,Onelife is a chain,7 mi,"377,636","142,775",2.64,"$114,316 ",,,,,,,,,,,,,,,,,39.091217,-77.1764171673579
Magnuson Athletic Club,"7751 63rd Ave NE Seattle, WA 98115",,(206) 452-1500,macseattle.com,,7 mi,"434,012","206,588",2.1,"$111,195 ",,,,,,,,,,,,,,,,,47.6870288,-122.2631286
Windsor Athletic Club,"99 Clarksville Rd West Windsor, NJ 08550",,(609) 356-5000,usawac.com,,7 mi,"172,434","64,447",2.68,"$109,994 ",,,,,,,,,,,,,,,,,40.2901961,-74.67636569999999
Arena Sports - SODO,"4636 E Marginal Way S Ste 101 Seattle, WA 98134",,(206) 762-8606,arenasports.net,Indoor soccer for kids,7 mi,"525,136","252,200",2.08,"$106,773 ",,,,,,,,,,,,,,,,,47.578789057382956,-122.33295122064827
Chelsea Piers Connecticut,"1 Blachley Rd Stamford, CT 06902",,(203) 989-1000,chelseapiersct.com,,7 mi,"227,854","87,069",2.62,"$106,052 ",,,,,,,,,,,,,,,,,41.05588,-73.515536
Villa Sport - Roseville,"291 Conference Center Dr Roseville, CA 95678",,(916) 831-7070,villasport.com/roseville,,7 mi,"286,293","106,324",2.69,"$104,224 ",,,,,,,,,,,,,,,,,38.777456357674644,-121.27188451086788
Marcus Jewish Community Center of Atlanta,"5342 Tilly Mill Rd, Atlanta, GA 30338",Atlanta,16788124000,https://www.atlantajcc.org/,,ZIP,"39,042","16,272",,"$122,931 ",,,,,,,,,,,,,,,,,33.94207433101343,-84.32082864065934
Hi-Five Sports Zone At North Point Mall,"1000 North Point Cir Suite 1008, Alpharetta, GA 30022",Atlanta,14704170194,https://www.hifivesportsclubs.com/locations/alpharetta/,Chain that has at least another location in Chicago,ZIP,"64,919","23,365",,"$153,022 ",,,,,,,,,,,,,,,,,34.0161491727378,-84.25711268329198
Cambridge Athletic Club,"215 First St, Cambridge, MA 02142",Boston,16174918989,http://www.cambridgeathletic.com/,Have multiple locations in Cambridge,ZIP,"4,349","2,168",,"$168,788 ",,,,,,,,,,,,,,,,,42.36439435,-71.07924583318903
Longfellow Tennis & Health Club Wayland,"524 Boston Post Rd, Wayland, MA 01778",Boston,15083587355,https://longfellowhealthclubs.com/wayland/,"Have multiple locations, Wayland has bb courts",ZIP,"13,915","4,981",,"$219,531 ",,,,,,,,,,,,,,,,,42.36538915,-71.38852871537586
Boston Sports Institute,"900 Worcester St, Wellesley, MA 02482",Boston,17814895088,http://www.bostonsportsinstitute.com/,Advertise space rentals for rink and courts,ZIP,"10,758","4,121",,"$240,069 ",,,,,,,,,,,,,,,,,42.30386775,-71.31785165899026
Fieldhouse Sudbury,"31 Union Ave, Sudbury, MA 01776",Boston,19784409944,https://fieldhousesudbury.com/,,ZIP,"19,067","6,327",,"$234,634 ",,,,,,,,,,,,,,,,,42.362864,-71.42774767909201
J.W. Hayden Recreation Centre,"24 Lincoln St, Lexington, MA 02421",Boston,17818628480,http://jwhayden.org/,,ZIP,"17,798","6,765",,"$212,843 ",,,,,,,,,,,,,,,,,42.4469791,-71.23878863500371
Bradley Fieldhouse,"2500 W Bradley Pl B, Chicago, IL 60618",Chicago,17739618889,https://www.bradleyfieldhouse.com/,,ZIP,"91,896","37,745",,"$101,558 ",,,,,,,,,,,,,,,,,41.94520878408488,-87.70028174712644
McFetridge Sports Center,"3843 N California Ave, Chicago, IL 60618",Chicago,17734782609,https://www.mcfetridgesportscenter.com/,Ice rink and tennis courts,ZIP,"91,896","37,745",,"$101,558 ",,,,,,,,,,,,,,,,,41.95112814222381,-87.69804930785487
Lakeshore Sport & Fitness,"1320 W Fullerton Ave, Chicago, IL 60614",Chicago,17733486377,https://www.lakeshoresf.com/lincoln-park/,,ZIP,"70,444","34,603",,"$139,561 ",,,,,,,,,,,,,,,,,41.92515547222222,-87.66202397222222
Nicholas Sportsplex,"1501 Feehanville Dr, Mt Prospect, IL 60056",Chicago,12244434370,http://www.mp-ice.com/,17 Acres of indoor and outdoor space,ZIP,"55,989","22,107",,"$104,168 ",,,,,,,,,,,,,,,,,42.075777,-87.915143
Wheatland Athletic Association,"2323 Liberty St, Aurora, IL 60502",Chicago,16309782855,http://www.waasports.org/,,ZIP,"23,242","8,364",,"$150,421 ",,,,,,,,,,,,,,,,,41.7644283,-88.25851114424924
Hi Five Sports Zone Northbrook,"1515 Lake Cook Road unit 2030, Northbrook, IL 60062",Chicago,18472299555,http://www.hifivenorthshore.com/,,ZIP,"41,667","16,290",,"$142,759 ",,,,,,,,,,,,,,,,,42.127549596301016,-87.84150438571429
FFC Park Ridge,"826 W Touhy Ave, Park Ridge, IL 60068",Chicago,18478029826,https://ffc.com/club-locations/park-ridge/,,ZIP,"39,227","15,165",,"$138,201 ",,,,,,,,,,,,,,,,,42.01142845,-87.83511127778056
North Shore Sports and Wellness,"550 Lake Cook Rd, Deerfield, IL 60015",Chicago,18474986646,http://northshoresportsandwellness.com/,,ZIP,"27,720","10,242",,"$186,786 ",,,,,,,,,,,,,,,,,42.15285776032977,-87.84084238129421
Eich's Sports Complex,"24316 W 143rd St, Plainfield, IL 60544",Chicago,18154369044,http://www.eichssportscomplex.com/,,ZIP,"27,937","10,223",,"$108,447 ",,,,,,,,,,,,,,,,,41.6297,-88.2435
Community Sports Plex (CSP),"24035 W Riverwalk Ct, Plainfield, IL 60544",Chicago,18152671717,https://communitychristian.org/rental/,,ZIP,"27,937","10,223",,"$108,447 ",,,,,,,,,,,,,,,,,41.61931235,-88.20262460000001
Glendale Sports Center,"4500 E Kentucky Ave, Denver, CO 80246",Denver,13036394711,https://www.sportscenterglendale.com/,,ZIP,"13,028","7,457",,"$66,503 ",,,,,,,,,,,,,,,,,39.698887325152725,-104.94738294672474
The Map Sports Facility,"12552 Western Ave, Garden Grove, CA 92841",LA,17149055262,https://www.themapsports.com/,,ZIP,"33,514","9,619",,"$81,975 ",,,,,,,,,,,,,,,,,33.78031905120939,-118.00152591303389
American Sports Centers,"1500 S Anaheim Blvd, Anaheim, CA 92805",LA,17149173600,http://americansportscenters.com/,,ZIP,"74,336","21,718",,"$85,623 ",,,,,,,,,,,,,,,,,33.8096116,-117.90468336907692
Open Gym Premier,"1500 S Anaheim Blvd, Anaheim, CA 92805",LA,,http://www.opengympremier.com/,9 Locations,ZIP,"74,336","21,718",,"$85,623 ",,,,,,,,,,,,,,,,,33.8096116,-117.90468336907692
Clava Sports Facility,"26923 Fuerte Dr, Lake Forest, CA 92630",LA,19494080319,https://clavasports.com/,,ZIP,"66,461","23,242",,"$119,984 ",,,,,,,,,,,,,,,,,33.66768765904975,-117.66002566794906
Momentous Sports Center,"14522 Myford Rd, Irvine, CA 92606",LA,17143897900,http://momentoussportscenter.com/,,ZIP,"24,499","8,925",,"$140,790 ",,,,,,,,,,,,,,,,,33.71419765,-117.80279608022475
Meridian Qube Fitness Center,"1535 Deerpark Dr, Fullerton, CA 92831",LA,17144398730,https://meridianqube.com/,Large event rental space with sports facilities,ZIP,"35,831","12,823",,"$89,451 ",,,,,,,,,,,,,,,,,33.885971350000005,-117.8795009124968
Jump Beyond Sports,"1780 Oak St, Torrance, CA 90501",LA,(424) 558-3310,https://jump-beyond.com/,,ZIP,"41,319","14,512",,"$92,815 ",,,,,,,,,,,,,,,,,33.829969125000005,-118.32687
Quartz Sports Facility,"1533 E Del Amo Blvd, Carson, CA 90746",LA,14248881038,https://quartz-sports.com/,,ZIP,"27,465","8,599",,"$113,545 ",,,,,,,,,,,,,,,,,33.84682464689455,-118.24532100280867
Sports Academy,"1011 Rancho Conejo Blvd, Thousand Oaks, CA 91320",LA,18445187246,https://sportsacademy.us/,"Locations in CA, TX, and TN",ZIP,"43,628","15,043",,"$150,861 ",,,,,,,,,,,,,,,,,34.19897718803693,-118.92323365744804
Thousand Oaks Teen Center,"1375 E Janss Rd, Thousand Oaks, CA 91362",LA,18054945156,http://www.thousandoaksteencenter.com/,,ZIP,"36,205","13,823",,"$143,683 ",,,,,,,,,,,,,,,,,34.19965218367347,-118.85330579591837
AFC Fitness,"601 Righters Ferry Rd, Bala Cynwyd, PA 19004",Philly,16106646464,http://www.afcfitness.com/,,ZIP,"10,439","4,216",,"$143,781 ",,,,,,,,,,,,,,,,,40.006663926071205,-75.22875344633742
YSC Sports,"224 County Line Rd, Wayne, PA 19087",Philly,16102930888,http://www.yscsports.com/,Outdoor and indoor fields,ZIP,"33,770","12,132",,"$165,451 ",,,,,,,,,,,,,,,,,40.07730515,-75.40368484437433
Ellis Athletic Center,"3819 West Chester Pike, Newtown Square, PA 19073",Philly,16103557360,http://www.ellisathleticcenter.com/,,ZIP,"21,587","8,423",,"$131,061 ",,,,,,,,,,,,,,,,,39.9911032,-75.4083027
Steelyard Sports Indoor/Outdoor Sports Complex,"538 Swedeland Rd, King of Prussia, PA 19406",Philly,14842311138,https://www.steelyardsports.com/,Outdoor and indoor fields,ZIP,"29,388","13,212",,"$109,944 ",,,,,,,,,,,,,,,,,40.09669682649494,-75.37928574682613
Berwyn Sports Club,"950 Cassatt Rd, Berwyn, PA 19312",Philly,16109999566,https://berwynsportsclub.com/,Outdoor and indoor fields,ZIP,"11,901","4,391",,"$199,107 ",,,,,,,,,,,,,,,,,40.0611699,-75.4559592
Elite Sports Factory,"5050 Umbria St, Philadelphia, PA 19128",Philly,17544446637,http://www.elitesportsfactory.com/,,ZIP,"37,018","17,931",,"$89,639 ",,,,,,,,,,,,,,,,,40.03583038910403,-75.23609767090123
Paloma Sports Complex,"3215 S Sossaman Rd Bld. 2, Mesa, AZ 85212",Phoenix,14803312461,https://palomasports.com/,Affiliated with a church,ZIP,"50,427","15,798",,"$123,404 ",,,,,,,,,,,,,,,,,33.33659338701291,-111.61942312977374
Multnomah Athletic Club,"1849 SW Salmon St, Portland, OR 97205",Portland,15032236251,https://themac.com/,,ZIP,"9,232","6,222",,"$58,943 ",,,,,,,,,,,,,,,,,45.520668650000005,-122.69232535798886
Sunset Athletic Club,"13939 NW Cornell Rd, Portland, OR 97229",Portland,15036453535,http://www.sunsetac.net/,,ZIP,"75,626","27,532",,"$159,863 ",,,,,,,,,,,,,,,,,45.5303121,-122.81989374483142
Mountain Park Clubhouse,"2 Mt Jefferson Terrace, Lake Oswego, OR 97035",Portland,15036353561,https://mtparkhoa.com/clubhouse/,,ZIP,"25,875","10,961",,"$126,866 ",,,,,,,,,,,,,,,,,45.43156515,-122.71514604344087
Champion's Club,"285 Shady Oaks Dr Southlake, TX 76092",DFW,(817) 748-8955,experiencechampionsclub.com,,7 mi,"183,950","67,340",2.73,"$138,728 ",,,,,,,,,,,,,,,,,32.94276501704762,-97.14770917447619
The REC of Grapevine,"1175 Municipal Way Grapevine, TX 76051",DFW,(817) 410-3450,https://gograpevine.com/,,7 mi,"175,251","67,768",2.59,"$113,933 ",,,,,,,,,,,,,,,,,32.92978052637382,-97.0766833698105
Evelyn Rubenstein JCC,"5601 S Braeswood Houston, TX 77096",Houston,(713) 729-3200,erjcchouston.org,,7 mi,"680,358","282,949",2.4,"$52,805 ",,,,,,,,,,,,,,,,,29.6927082,-95.433383
The Downtown Club at The Met,"340 W Dallas St Houston, TX 77002",Houston,(713) 652-0700,clubcorp.com,,7 mi,"646,533","286,300",2.26,"$66,749 ",,,,,,,,,,,,,,,,,29.7579088,-95.37215193333333
Crenshaws Athletic Club,"5000 Fairview Drive, Austin, Texas 78731",Austin,(512) 453-5551,https://www.crenshaws.com/,Gymnastics and Swimming Only,7 mi,"404,925","186,147",2.18,"$80,191 ",,,,,,,,,,,,,,,,,30.3316255,-97.75947305947244
Austin Sports Center,"425 Woodward St, Austin, Texas, 78704",Austin,512-433-5111,https://www.austinsportscenter.com/asc/home/,"3 Locations in Austin, 2 are right next to each other",7 mi,"432,372","193,072",2.24,"$71,561 ",,,,,,,,,,,,,,,,,30.244502757963616,-97.76196398633897
Austin Sports Center - Cedar Park,"1420 Toro Grande Blvd, Cedar Park, TX 78613",Austin,512-433-5111,https://www.austinsportscenter.com/asc/home/,"3 Locations in Austin, 2 are right next to each other",7 mi,"218,972","80,542",2.72,"$114,164 ",,,,,,,,,,,,,,,,,30.51045551688109,-97.79948183820663
Memorial Athletic Club and Aquatic Center,"14690 Memorial Dr, Houston, TX 77079",Houston,281.558.6691,https://www.fitmac.com/,Athletic Club for Women and Aquatic Center,7 mi,"371,505","151,321",2.46,"$58,488 ",,,,,,,,,,,,,,,,,29.770145199999998,-95.6083232
APEC Fitness Center,"2600 Alemeda St, Fort Worth, TX 76116",DFW,817-367-7800,https://teamapec.com/,,7 mi,"165,138","70,090",2.36,"$65,143 ",,,,,,,,,,,,,,,,,32.7353015,-97.4849362
CERA,"3300 Bryant Irvin Rd., Fort Worth, TX 76109",DFW,(817) 732-7731,https://cera-fw.org/,,7 mi,"336,881","136,451",2.47,"$63,596 ",,,,,,,,,,,,,,,,,32.7021472,-97.4134224
Cooper Fitness Center,"12100 Preston Road, Dallas, TX 75230",DFW,972.233.4832,https://www.cooperaerobics.com/cooper-fitness-center,,7 mi,"529,665","229,476",2.31,"$70,961 ",,,,,,,,,,,,,,,,,32.9142021,-96.80105867422662
Southwest Athletic Center,"2800 N Interstate 35E Carrollton, TX 75007",DFW,(817) 545-4551,https://www.dallassports.org/directory/southwest-athletic-center/,,7 mi,"371,034","149,741",2.48,"$80,354 ",,,,,,,,,,,,,,,,,33.006527473903745,-96.89786076545454
Kid's Choice Sport & Fun Center,"13000 Sport and Health Dr, Woodbridge, VA 22192",DMV,17039403700,http://www.kidschoicesportandfuncenter.com/,,ZIP,"59,034","20,490",,"$122,005 ",,,,,,,,,,,,,,,,,38.67062945,-77.25647650899114
The Keller Pointe,"405 Rufe Snow Dr, Keller, TX 76248",DFW,18177434386,http://www.thekellerpointe.com/,,ZIP,"40,389","14,432",,"$169,391 ",,,,,,,,,,,,,,,,,32.927220877551015,-97.2319957755102
Thrive,"1950 S Valley Pkwy, Lewisville, TX 75067",DFW,14696355300,https://www.lewisvillethrive.com/,,ZIP,"68,451","27,359",,"$76,630 ",,,,,,,,,,,,,,,,,33.019760149999996,-97.02037156432436
NRH Centre,"6000 Hawk Ave, North Richland Hills, TX 76180",DFW,18174276600,http://www.nrhcentre.com/,,ZIP,"37,900","15,236",,"$78,688 ",,,,,,,,,,,,,,,,,32.855948,-97.194594
LC Sports & Recreation Center,"2912-A, 2912 Little Rd, Arlington, TX 76016",DFW,18174575276,https://www.lcsportsandrec.com/,Affiliated with a church,ZIP,"31,191","11,063",,"$108,701 ",,,,,,,,,,,,,,,,,32.6890585780914,-97.1852077873656
CUMC Sports & Rec Center,"Sports & Rec Center, 3101 Coit Rd, Plano, TX 75075",DFW,19725966073,https://cumc.com/adult-sports-fitness/,Affiliated with a church,ZIP,"38,041","15,237",,"$91,517 ",,,,,,,,,,,,,,,,,33.01621040091164,-96.73505744554699
Plano Athletic Club,"4600 W Park Blvd, Plano, TX 75093",DFW,14698954258,https://planoathleticclub.com/?utm_source=localgbp&utm_medium=organic&utm_campaign=gmb,,ZIP,"46,491","19,651",,"$121,226 ",,,,,,,,,,,,,,,,,33.026792,-96.78673
Plano Sports Authority,"6500 Preston Meadow Dr, Plano, TX 75024",DFW,19722085437,https://www.psaplanosportsauthority.com/,,ZIP,"45,051","18,778",,"$117,445 ",,,,,,,,,,,,,,,,,33.0692649,-96.7785092
Grand Parkway Sports,"22309 Gosling Rd, Spring, TX 77389",Houston,936-524-0576�,https://www.gpscomplex.com/,,ZIP,"44,545","14,601",,"$145,228 ",,,,,,,,,,,,,,,,,30.0878024,-95.50848122521697
Katy Sports Center,"510 S Mason Rd Ste. 14, Katy, TX 77450",Houston,17132316618,https://www.katysportscenter.com/,,ZIP,"73,226","25,316",,"$105,607 ",,,,,,,,,,,,,,,,,29.75746056484667,-95.7301186697083
Artistic Stitch Sports Complex,"79-08 Cooper Ave, Glendale, NY 11385",NYC,17184161380,http://www.artisticstitchsportscomplex.com/,,ZIP,"103,865","37,586",,"$87,365 ",,,,,,,,,,,,,,,,,40.69962005,-73.88810855
Globall Sports Centers - Brooklyn,"1561 Bedford Ave, Brooklyn, NY 11225",NYC,19297772672,http://globallsportscenters.com/,,ZIP,"56,544","24,747",,"$85,201 ",,,,,,,,,,,,,,,,,40.66874035,-73.95474426305738
Major R. Owens Health & Wellness Community Center,"1561 Bedford Ave, Brooklyn, NY 11225",NYC,17189719202,https://www.majorowenscenter.com/,,ZIP,"56,544","24,747",,"$85,201 ",,,,,,,,,,,,,,,,,40.66874035,-73.95474426305738
Ocean Breeze Athletic Complex,"625 Father Capodanno Blvd, Staten Island, NY 10305",NYC,17183517923,http://oceanbreezenyc.org/,,ZIP,"41,714","15,637",,"$86,294 ",,,,,,,,,,,,,,,,,40.58458549643174,-74.07223941990848
Marlene Meyerson JCC Manhattan,"334 Amsterdam Ave at, W 76th St, New York, NY 10023",NYC,16465054444,https://mmjccm.org/,,ZIP,"67,468","36,881",,"$157,866 ",,,,,,,,,,,,,,,,,40.77699125976733,-73.98116123737276
Next Level Sports Center,"156 Railroad St, Huntington Station, NY 11746",Long Island,16314188493,https://nextlevelsportscenter.com/,,ZIP,"66,883","21,661",,"$158,309 ",,,,,,,,,,,,,,,,,40.8445885,-73.423731
All Island SportsPlex,"10 Dunton Ave, Deer Park, NY 11729",Long Island,16313924710,http://www.allislandsportsplex.com/,Indoor fields,ZIP,"26,647","8,661",,"$138,350 ",,,,,,,,,,,,,,,,,40.768862150000004,-73.29452804823464
Asphalt Green - Upper East Side campus,"555 E 90th St, New York, NY 10128",NYC,12123698890,http://www.asphaltgreen.org/,,ZIP,"59,000","30,154",,"$148,705 ",,,,,,,,,,,,,,,,,40.77801692320998,-73.94392601544651
Fastbreak Sports,"1629 1st Ave., New York, NY 10028",NYC,12127243278,https://fastbreakkids.com/,,ZIP,"45,679","24,901",,"$168,125 ",,,,,,,,,,,,,,,,,40.776069428571425,-73.95009
Because We Can Sports,"120 Androvette St, Staten Island, NY 10309",NYC,13472120028,https://bwcsports.com/,,ZIP,"34,918","12,108",,"$123,638 ",,,,,,,,,,,,,,,,,40.5351618,-74.239854
Peak Sports Academy,"1235 US-22, Mountainside, NJ 07092",NJ,19082321349,http://www.peaksportsacademynj.com/,Super high-end AAU teams and facilities,ZIP,"6,967","2,540",,"$210,100 ",,,,,,,,,,,,,,,,,40.67684302127329,-74.34698376423357
Rising Stars Athletic Complex,"63 Babylon Turnpike, Freeport, NY 11520",Long Island,15166365566,https://risingstarsyouthfoundation.com/,,ZIP,"44,873","14,129",,"$119,407 ",,,,,,,,,,,,,,,,,40.6651698,-73.5716998
Branchburg Sports Complex,"47 Readington Rd, Branchburg, NJ 08876",NJ,19082031600,http://www.branchburgsports.com/,Sports and laser tag,ZIP,"22,902","9,547",,"$120,823 ",,,,,,,,,,,,,,,,,40.5977632,-74.69293973014919
SPORTIME Lynbrook,"175 Merrick Rd, Lynbrook, NY 11563",Long Island,15168871330,https://www.sportimeny.com/lynbrook,Multiple locations and facility rentals,ZIP,"22,558","7,644",,"$138,006 ",,,,,,,,,,,,,,,,,40.6590171,-73.66461607567479
Kids In Sports Scarsdale,"365 Central Park Ave, Scarsdale, NY 10583",NY,19143589732,https://scarsdaleny.kidsinsports.com/,Kid-centric sports,ZIP,"40,612","14,050",,"250,000+",,,,,,,,,,,,,,,,,41.009134599999996,-73.80959948314883
House of Sports,"1 Elm St, Ardsley, NY 10502",NY,19144795419,http://houseofsportsny.com/,,ZIP,"5,875","1,879",,"250,000+",,,,,,,,,,,,,,,,,41.0120128,-73.8498392
Premier Sports Multi Sport Training Center,"114 Parkway Dr S, Hauppauge, NY 11788",Long Island,16316706355,http://premiersportsny.com/,,ZIP,"17,092","5,581",,"$148,946 ",,,,,,,,,,,,,,,,,40.82063174244467,-73.20218126797596
The Sports Arena,"620 Middle Country Rd, St James, NY 11780",Long Island,16313619288,http://www.thesportsarena.net/,,ZIP,"15,586","5,576",,"$141,576 ",,,,,,,,,,,,,,,,,40.85646235,-73.15734832035761
Centercourt Athletic Club of Chatham,"222 N Passaic Ave, Florham Park, NJ 07928",NJ,19736351222,http://www.centercourtacademy.com/,,ZIP,"19,667","6,690",,"$236,000 ",,,,,,,,,,,,,,,,,40.75279582964836,-74.36896685175819
Long Island Sports Hub,"165 Eileen Way, Syosset, NY 11791",Long Island,15163644000,http://lisportshub.com/,,ZIP,"25,194","8,046",,"$204,357 ",,,,,,,,,,,,,,,,,40.802766399999996,-73.51810781472402
LI Sports Edge,"510A Larkfield Rd, East Northport, NY 11731",Long Island,15168740345,http://www.lilathletes.com/,Youth sports classes,ZIP,"29,891","10,717",,"$158,819 ",,,,,,,,,,,,,,,,,40.857859489141475,-73.31897534328621
North Sport,"469 Fort Salonga Rd, Northport, NY 11768",Long Island,16317572255,http://www.northsportny.com/,"Basketball and pickleball, advertise rentals",ZIP,"21,908","8,213",,"$163,435 ",,,,,,,,,,,,,,,,,40.893503,-73.3382055
Northern Valley Sports Academy (NVSA),"100 Oakland Ave, Closter, NJ 07624",NJ,12017503275,https://www.northernvalleysportsacademy.com/,,ZIP,"8,544","2,632",,"$187,500 ",,,,,,,,,,,,,,,,,40.972284,-73.960379
Shooting Stars Sports,"45 Cherry Valley Ave, West Hempstead, NY 11552",Long Island,16316515000,http://www.shootingstarssportsli.com/,,ZIP,"26,053","7,477",,"$153,192 ",,,,,,,,,,,,,,,,,40.70641719354838,-73.65681393548387
All Sportz Melville,"100 Ruland Rd, Melville, NY 11747",Long Island,16314147072,https://www.allsportzli.com/,,ZIP,"19,826","7,575",,"$154,914 ",,,,,,,,,,,,,,,,,40.763728,-73.414361
Down Town Sports,"7 Leighton Pl, Mahwah, NJ 07430",NJ,12018511707,https://www.downtownsportsclub.com/,,ZIP,"25,375","9,756",,"$128,125 ",,,,,,,,,,,,,,,,,41.024460790673594,-74.16729442335458
A Game Sports,"A Game Sports, 856 Main St, New Rochelle, NY 10801",NY,19142789477,http://www.agamesports.net/,,ZIP,"41,984","16,030",,"$83,534 ",,,,,,,,,,,,,,,,,40.916579151904585,-73.7864936397652
Open Gyms LLC,"7 Fir Ct, Oakland, NJ 07436",NJ,12012589770,http://opengyms.net/,,ZIP,"12,676","4,388",,"$162,763 ",,,,,,,,,,,,,,,,,41.018422313787745,-74.25401993957213
The Plex,"800 Embedded Way, San Jose, CA 95138",SF/Bay Are,14082251843,http://www.gotoplex.com/,Massive indoor sports facilities,ZIP,"19,513","5,638",,"$194,300 ",,,,,,,,,,,,,,,,,37.26574545,-121.79361928522327
The Foundry,"2575 E Bayshore Rd, Redwood City, CA 94063",SF/Bay Are,16505122304,http://www.lemou.org/,,ZIP,"34,695","11,291",,"$115,528 ",,,,,,,,,,,,,,,,,37.48765765,-122.19912523950617
SportsHouse,"3151 Edison Way, Redwood City, CA 94063",SF/Bay Are,16503624100,http://www.sportshouse.us/,,ZIP,"34,695","11,291",,"$115,528 ",,,,,,,,,,,,,,,,,37.47650685,-122.20315250889655
Legarza Kids,"1027 Bransten Rd, San Carlos, CA 94070",SF/Bay Are,14153343333,http://www.legarzasports.org/,,ZIP,"30,696","11,331",,"$235,373 ",,,,,,,,,,,,,,,,,37.50584755530478,-122.25401493982118
Fairfax Sportsplex,"6800 Commercial Dr, Springfield, VA 22151",DMV,17037509521,http://www.fairfaxsportsplex.com/,Indoor soccer and volleyball,ZIP,"17,376","5,478",,"$160,187 ",,,,,,,,,,,,,,,,,38.804268536598535,-77.2123115420941
TeamABA Training Center,"60 Southlawn Ct, Rockville, MD 20850",DMV,13013637804,http://www.teamaballc.com/,"Mostly basketball, but offer other training",ZIP,"50,365","21,131",,"$122,691 ",,,,,,,,,,,,,,,,,39.1042591,-77.13037235
Bender JCC of Greater Washington,"6125 Montrose Rd, Rockville, MD 20852",DMV,13018810100,http://www.benderjccgw.org/,,ZIP,"47,857","21,640",,"$121,496 ",,,,,,,,,,,,,,,,,39.0505557634009,-77.12024192837838
